HighCard ('8', '6', '4', '3', '2')
HighCard ('8', '6', '5', '4', '3')
HighCard ('8', '7', '5', '3', '2')
HighCard ('8', '7', '6', '5', '4')
HighCard ('9', '5', '4', '3', '2')
HighCard ('9', '7', '4', '3', '2')
HighCard ('9', '7', '5', '4', '3')
HighCard ('9', '7', '6', '4', '3')
HighCard ('9', '8', '7', '3', '2')
HighCard ('T', '6', '5', '3', '2')
HighCard ('T', '7', '4', '3', '2')
HighCard ('T', '7', '6', '5', '2')
HighCard ('T', '7', '6', '5', '4')
HighCard ('T', '8', '5', '3', '2')
HighCard ('T', '8', '6', '5', '3')
HighCard ('T', '8', '6', '5', '4')
HighCard ('T', '9', '6', '3', '2')
HighCard ('T', '9', '7', '5', '2')
HighCard ('T', '9', '7', '5', '4')
HighCard ('T', '9', '7', '6', '4')
HighCard ('T', '9', '8', '4', '2')
HighCard ('T', '9', '8', '5', '4')
HighCard ('T', '9', '8', '7', '2')
HighCard ('J', '6', '4', '3', '2')
HighCard ('J', '6', '5', '3', '2')
HighCard ('J', '8', '6', '5', '3')
HighCard ('J', '8', '7', '3', '2')
HighCard ('J', '9', '5', '3', '2')
HighCard ('J', '9', '6', '4', '2')
HighCard ('J', '9', '7', '5', '2')
HighCard ('J', '9', '7', '5', '4')
HighCard ('J', '9', '7', '6', '4')
HighCard ('J', '9', '7', '6', '5')
HighCard ('J', '9', '8', '3', '2')
HighCard ('J', '9', '8', '6', '4')
HighCard ('J', '9', '8', '6', '5')
HighCard ('J', 'T', '6', '3', '2')
HighCard ('J', 'T', '7', '6', '4')
HighCard ('J', 'T', '8', '4', '2')
HighCard ('J', 'T', '8', '5', '4')
HighCard ('J', 'T', '9', '4', '2')
HighCard ('J', 'T', '9', '7', '4')
HighCard ('J', 'T', '9', '8', '3')
HighCard ('Q', '7', '5', '3', '2')
HighCard ('Q', '7', '6', '4', '3')
HighCard ('Q', '8', '5', '4', '2')
HighCard ('Q', '8', '6', '4', '2')
HighCard ('Q', '8', '6', '5', '3')
HighCard ('Q', '8', '7', '6', '5')
HighCard ('Q', '9', '5', '3', '2')
HighCard ('Q', '9', '5', '4', '3')
HighCard ('Q', '9', '6', '3', '2')
HighCard ('Q', '9', '7', '5', '4')
HighCard ('Q', '9', '7', '6', '2')
HighCard ('Q', '9', '8', '7', '5')
HighCard ('Q', 'T', '4', '3', '2')
HighCard ('Q', 'T', '6', '5', '3')
HighCard ('Q', 'T', '7', '6', '5')
HighCard ('Q', 'T', '8', '5', '4')
HighCard ('Q', 'T', '8', '6', '4')
HighCard ('Q', 'T', '8', '7', '6')
HighCard ('Q', 'T', '9', '4', '2')
HighCard ('Q', 'T', '9', '4', '3')
HighCard ('Q', 'T', '9', '5', '4')
